단축코드,한글 종목약명
098120,마이크로컨텍솔
009520,포스코엠텍
095570,AJ네트웍스
006840,AK홀딩스
282330,BGF리테일
027410,BGF
138930,BNK금융지주
001465,BYC우
001460,BYC
001045,CJ우
00104K,CJ4우(전환)
001040,CJ
011155,CJ씨푸드1우
011150,CJ씨푸드
058820,CMG제약
000590,CS홀딩스
012030,DB
016610,DB금융투자
005830,DB손해보험
000990,DB하이텍
139130,DGB금융지주
001530,DI동일
000215,DL우
000210,DL
37550K,DL이앤씨우
37550L,DL이앤씨2우(전환)
375500,DL이앤씨
155660,DSR
069730,DSR제강
017860,DS단석
017940,E1
365550,ESR켄달스퀘어리츠
050120,ES큐브
383220,F&F
007700,F&F홀딩스
078935,GS우
006360,GS건설
078930,GS
012630,HDC
294870,HDC현대산업개발
097230,HJ중공업
014790,HL D&I
024850,HLB이노베이션
204320,HL만도
060980,HL홀딩스
035000,HS애드
003560,IHQ
175330,JB금융지주
234080,JW생명과학
001065,JW중외제약우
001067,JW중외제약2우B
001060,JW중외제약
096760,JW홀딩스
105560,KB금융
432320,KB스타리츠
024120,KB오토시스
009070,KCTC
044180,KD
003620,KG모빌리티
016380,KG스틸
001390,KG케미칼
033180,KH 필룩스
001940,KISCO홀딩스
025000,KPX케미칼
092230,KPX홀딩스
000040,KR모터스
093050,LF
003555,LG우
034220,LG디스플레이
003550,LG
051905,LG생활건강우
051900,LG생활건강
373220,LG에너지솔루션
032640,LG유플러스
011070,LG이노텍
066575,LG전자우
066570,LG전자
051915,LG화학우
051910,LG화학
079550,LIG넥스원
010120,LS ELECTRIC
000680,LS네트웍스
006260,LS
229640,LS에코에너지
108320,LX세미콘
001120,LX인터내셔널
086960,MDS테크
023150,MH에탄올
035420,NAVER
181710,NHN
338100,NH프라임리츠
034310,NICE
008260,NI스틸
004255,NPC우
004250,NPC
456040,OCI
010955,S-Oil우
010950,S-Oil
950110,SBI핀테크솔루션즈
005090,SGC에너지
001380,SG글로벌
001770,SHD
002360,SH에너지화학
009160,SIMPAC
123700,SJM
025530,SJM홀딩스
03473K,SK우
011790,SKC
018670,SK가스
001740,SK네트웍스
210980,SK디앤디
395400,SK리츠
034730,SK
402340,SK스퀘어
260870,SK시그넷
361610,SK아이이테크놀로지
100090,SK오션플랜트
096775,SK이노베이션우
096770,SK이노베이션
001515,SK증권우
001510,SK증권
28513K,SK케미칼우
285130,SK케미칼
017670,SK텔레콤
003570,SNT다이내믹스
064960,SNT모티브
100840,SNT에너지
036530,SNT홀딩스
005610,SPC삼립
465770,STX그린로지스
011810,STX
077970,STX엔진
084870,TBH글로벌
002710,TCC스틸
024070,WISCOM
079940,가비아
078890,가온그룹
000500,가온전선
399720,가온칩스
296520,가이아코퍼레이션
036620,감성코퍼레이션
000860,강남제비스코
198440,강동씨앤엘
217730,강스템바이오텍
035250,강원랜드
114190,강원에너지
094480,갤럭시아머니트리
011420,갤럭시아에스엠
039240,경남스틸
053950,경남제약
002100,경농
009450,경동나비엔
267290,경동도시가스
012320,경동인베스트
011040,경동제약
000050,경방
214390,경보제약
012610,경인양행
009140,경인전자
024910,경창산업
013580,계룡건설
012205,계양전기우
012200,계양전기
002140,고려산업
049720,고려신용정보
010130,고려아연
002240,고려제강
014570,고려제약
348150,고바이오랩
950190,고스트스튜디오
098460,고영
035290,골드앤에스
215000,골프존
121440,골프존뉴딘홀딩스
366030,공구우먼
076340,관악산업
009290,광동제약
086220,광동헬스바이오
014200,광림
017040,광명전기
029480,광무
017900,광전자
037710,광주신세계
026910,광진실업
440790,교보13호스팩
456490,교보14호스팩
465320,교보15호스팩
482520,교보16호스팩
489210,교보17호스팩
030610,교보증권
339770,교촌에프앤비
053270,구영테크
007690,국도화학
066620,국보디자인
001140,국보
043650,국순당
006050,국영지앤엠
060480,국일신동
078130,국일제지
307750,국전약품
002720,국제약품
035080,그래디언트
114090,GKL
900290,GRT
453450,그리드위즈
204020,그리티
402490,그린리소스
114450,그린생명과학
083420,그린케미칼
186230,그린플러스
014530,극동유화
083450,GST
900070,글로벌에스엠
204620,글로벌텍스프리
019660,글로본
014285,금강공업우
014280,금강공업
053260,금강철강
008870,금비
282720,금양그린파워
001570,금양
002995,금호건설우
002990,금호건설
011785,금호석유우
011780,금호석유
214330,금호에이치티
001210,금호전기
073240,금호타이어
036190,금화피에스시
049080,기가레인
420770,기가비스
035460,기산텔레콤
092440,기신정기
000270,기아
456700,길교이앤씨
013700,까뮤이앤씨
308100,까스텔바작
004545,깨끗한나라우
004540,깨끗한나라
407400,꿈비
187790,나노
286750,나노브릭
121600,나노신소재
247660,나노씨엠에스
039860,나노엔텍
091970,나노캠텍
417010,나노팀
244880,나눔테크
405920,나라셀라
288490,나라소프트
051490,나라엠앤디
137080,나래나노텍
190510,나무가
242040,나무기술
089600,나스미디어
293580,나우IB
257990,나우코스
138610,나이벡
130580,나이스디앤비
036800,나이스정보통신
030190,NICE평가정보
267320,나인테크
001260,남광토건
008355,남선알미우
008350,남선알미늄
004270,남성
003925,남양유업우
003920,남양유업
025860,남해화학
111710,남화산업
091590,남화토건
168330,내츄럴엔도텍
094860,네오리진
253590,네오셈
212560,네오오토
095660,네오위즈
042420,네오위즈홀딩스
950220,네오이뮨텍
311390,네오크레마
085910,네오티스
092730,네오팜
290660,네오펙트
306620,네온테크
153460,네이블
007390,네이처셀
033640,네패스
330860,네패스아크
005725,넥센우
005720,넥센
002355,넥센타이어1우B
002350,넥센타이어
089140,넥스턴바이오
389650,넥스트바이오메디컬
137940,넥스트아이
160550,NEW
396270,넥스트칩
348210,넥스틴
092790,넥스틸
225570,넥슨게임즈
217270,넵튠
251270,넷마블
317860,노드메이슨
104620,노랑풍선
090355,노루페인트우
090350,노루페인트
000325,노루홀딩스우
000320,노루홀딩스
473980,노머스
194700,노바렉스
285490,노바텍
283100,노보믹스
145170,노브랜드
229500,노브메타파마
106520,노블엠앤비
376930,노을
006280,녹십자
142280,녹십자엠에스
234690,녹십자웰빙
005257,녹십자홀딩스2우
005250,녹십자홀딩스
004370,농심
072710,농심홀딩스
154030,아시아종묘
403490,우듬지팜
054050,농우바이오
069140,누리플랜
040160,누리플렉스
332290,누보
348340,뉴로메카
060260,뉴보텍
123840,뉴온
012340,뉴인텍
270870,뉴트리
144960,뉴파워프라즈마
085670,뉴프렉스
064260,다날
340360,다보링크
039560,다산네트웍스
154040,다산솔루에타
058730,다스코
030210,다올투자증권
023590,다우기술
032190,다우데이타
323350,다원넥스뷰
068240,다원시스
145210,다이나믹디자인
464580,닷밀
019680,대교
019685,대교우B
006370,대구백화점
00806K,대덕1우
008060,대덕
353200,대덕전자
35320K,대덕전자1우
178600,대동고려삼
020400,대동금속
008830,대동기어
000490,대동
048470,대동스틸
008110,대동전자
004780,대륙제관
005750,대림B&Co
017650,대림제지
006570,대림통상
007720,대명소노시즌
389260,대명에너지
317850,대모
290670,대보마그네틱
078140,대봉엘에스
065150,대산F&B
001685,대상우
001680,대상
084695,대상홀딩스우
084690,대상홀딩스
036480,대성미생물
128820,대성산업
117580,대성에너지
027830,대성창투
104040,대성파인텍
129920,대성하이텍
016710,대성홀딩스
442310,대신밸런스제14호스팩
457390,대신밸런스제15호스팩
457630,대신밸런스제16호스팩
471050,대신밸런스제17호스팩
478780,대신밸런스제18호스팩
482690,대신밸런스제19호스팩
020180,대신정보통신
003545,대신증권우
003547,대신증권2우B
003540,대신증권
045390,대아티아이
009190,대양금속
108380,대양전기공업
014160,대영포장
047040,대우건설
003090,대웅
069620,대웅제약
007680,대원
